player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,WS/48,paint_rebounding,3catch_and_shoot,pullupshoot
Aaron Brooks,13.8,0.427,0.133,0.507,2.3,6.3,20.7,1.4,0.9,17.2,19.2,-2.1,-2.6,0.016,0.2145,0.09126,0.89775
Aaron Gordon,28.7,0.309,0.251,0.53,5.3,14.1,10.5,1.4,1.4,8.5,20.1,-0.2,-0.4,0.076,0.151018,0.1628,1.05141
Al Horford,32.3,0.302,0.169,0.553,4.9,18.6,24.4,1.2,3.3,11.9,19.8,1.0,2.1,0.137,0.159873,0.36456,0.38186
Al Jefferson,14.1,0.002,0.18,0.526,9.2,24.2,11.0,1.0,1.5,6.1,26.1,-1.5,-1.5,0.119,0.198531,0.0,0.21483
Al-Farouq Aminu,29.1,0.455,0.292,0.506,4.8,23.5,7.9,1.7,2.0,15.2,15.4,-2.3,1.2,0.051,0.172746,0.47952,0.20544
Alex Abrines,15.5,0.724,0.144,0.56,1.9,7.1,5.5,1.7,0.6,8.3,15.9,-0.3,-2.2,0.095,0.120083,0.81657,0.26424
Alex Len,20.3,0.026,0.449,0.553,10.6,25.3,4.2,1.1,5.1,15.5,17.6,-3.0,1.2,0.091,0.1795,0.0008,0.04066
Allen Crabbe,28.5,0.467,0.192,0.602,0.9,10.2,6.1,1.2,0.7,8.1,14.9,0.3,-1.4,0.088,0.072645,0.70146,0.81012
Amir Johnson,20.1,0.178,0.27,0.628,8.2,17.0,13.0,1.6,3.2,15.7,13.6,-0.2,2.4,0.149,0.250272,0.0456,0.065
Andre Drummond,29.7,0.008,0.39,0.518,15.1,36.3,5.9,2.6,3.1,12.5,22.4,-2.1,2.9,0.133,0.179424,6e-05,0.21465
Andre Iguodala,26.3,0.427,0.246,0.624,3.0,13.1,16.7,1.8,1.5,11.2,11.2,1.3,1.7,0.167,0.144606,0.27454,0.4532
Andre Roberson,30.1,0.397,0.24,0.51,4.6,14.2,4.6,1.9,2.7,9.1,10.1,-2.1,2.1,0.085,0.188168,0.20358,0.0325
Andrew Harrison,20.5,0.433,0.539,0.477,1.7,9.0,20.0,1.9,1.3,16.0,16.4,-2.4,0.0,0.051,0.044923,0.0854,0.59187
Andrew Wiggins,37.2,0.184,0.345,0.534,3.9,8.8,10.6,1.4,0.8,9.4,29.0,0.2,-2.9,0.066,0.283162,0.09856,3.12528
Anthony Davis,36.1,0.088,0.424,0.579,6.7,27.9,11.1,1.7,5.1,9.1,32.6,1.4,2.3,0.196,0.131208,0.04182,1.93536
Anthony Tolliver,22.7,0.655,0.234,0.595,4.0,14.5,7.7,1.1,1.2,12.6,13.6,0.2,-0.8,0.075,0.102808,0.87954,0.06292
Aron Baynes,15.5,0.0,0.337,0.57,10.0,21.6,3.9,0.7,2.8,13.5,14.1,-2.9,1.1,0.123,0.20358,0.0,0.0
Arron Afflalo,25.9,0.36,0.221,0.559,0.7,8.4,7.4,0.7,0.4,8.4,14.4,-1.4,-2.0,0.043,0.015873,0.2781,0.96558
Austin Rivers,27.8,0.409,0.261,0.545,1.1,7.5,15.0,1.2,0.4,12.4,20.3,-0.1,-1.5,0.059,0.060288,0.2261,1.28616
Avery Bradley,33.4,0.357,0.12,0.548,4.0,16.2,10.9,1.8,0.5,9.7,21.9,-0.2,-0.4,0.08,0.060016,0.3048,2.08184
Ben McLemore,19.3,0.406,0.222,0.538,1.9,10.8,6.9,1.2,0.5,11.9,20.1,-2.1,-2.7,0.015,0.091616,0.273,0.76995
Bismack Biyombo,22.1,0.0,0.69,0.546,9.3,25.6,6.0,0.7,4.1,17.7,13.2,-4.2,2.0,0.077,0.136496,0.0,0.024
Blake Griffin,34.0,0.116,0.434,0.569,6.1,20.2,24.5,1.4,0.9,10.9,28.0,3.2,1.3,0.179,0.133342,0.04784,1.1144
Bobby Portis,15.6,0.256,0.157,0.545,8.0,24.0,5.7,0.8,0.9,8.4,19.1,-1.6,-1.5,0.114,0.10547,0.1205,0.40626
Bojan Bogdanovic,25.7,0.464,0.288,0.585,1.9,12.3,8.7,0.8,0.3,12.0,22.4,-0.1,-2.8,0.067,0.061815,0.483,1.032
Boris Diaw,17.6,0.248,0.107,0.494,4.3,9.8,20.3,0.7,0.6,20.3,15.6,-2.7,-0.2,0.041,0.211024,0.05876,0.2665
Bradley Beal,34.9,0.418,0.259,0.604,2.2,7.8,16.2,1.5,0.7,9.6,26.5,4.5,-2.4,0.151,0.1665,0.5814,2.9692
Brandon Bass,11.1,0.016,0.473,0.65,8.6,16.2,5.7,1.2,1.6,11.4,19.7,0.1,-0.8,0.186,0.188928,0.00022,0.11649
Brandon Ingram,28.8,0.273,0.312,0.474,2.8,12.8,10.5,1.1,1.3,12.9,16.8,-3.1,-0.7,-0.007,0.092574,0.13511,1.01388
Brandon Jennings,22.2,0.471,0.284,0.479,1.8,10.1,30.4,1.9,0.2,17.5,17.6,-0.8,-2.2,0.046,0.0,0.07134,1.3294
Brandon Knight,21.1,0.265,0.293,0.502,2.3,9.1,17.8,1.1,0.4,13.1,25.0,-1.5,-3.0,0.013,0.115218,0.05586,1.83658
Brook Lopez,29.6,0.33,0.311,0.578,5.8,13.3,14.8,0.8,4.2,12.1,29.2,1.9,-0.4,0.105,0.318,0.46472,0.79968
Buddy Hield,23.0,0.493,0.099,0.54,2.0,13.5,10.3,1.0,0.4,11.2,21.4,-0.9,-1.9,0.032,0.04872,0.38308,1.6848
CJ McCollum,35.0,0.305,0.204,0.585,2.4,9.2,18.0,1.3,1.2,9.9,27.5,3.3,-2.2,0.131,0.195662,0.2618,4.4084
CJ Miles,23.4,0.632,0.144,0.592,1.9,12.4,4.1,1.3,1.2,5.5,18.4,1.5,-2.1,0.109,0.158167,1.15101,0.54102
CJ Watson,16.3,0.423,0.266,0.507,1.7,8.1,16.1,2.1,0.2,14.5,14.1,-2.5,-1.1,0.041,0.1,0.06384,0.855
Caris LeVert,21.7,0.484,0.245,0.556,2.0,13.9,13.7,1.9,0.5,12.3,16.6,-0.7,-0.4,0.07,0.02743,0.18942,1.03428
Carmelo Anthony,34.3,0.303,0.263,0.535,2.6,15.9,14.5,1.2,1.1,9.0,29.1,1.5,-2.2,0.089,0.109836,0.27636,3.97358
Channing Frye,18.9,0.644,0.142,0.612,3.0,19.3,4.9,1.2,2.1,8.8,19.3,0.8,-1.5,0.125,0.1088,1.08224,0.27816
Chris Paul,31.5,0.385,0.331,0.614,2.5,14.9,46.8,3.1,0.3,14.0,24.4,7.8,1.0,0.264,0.028557,0.04872,5.16594
Clint Capela,23.9,0.0,0.314,0.638,12.5,24.5,6.9,1.1,4.2,12.0,19.9,0.0,1.0,0.185,0.237996,0.0,0.02
Cody Zeller,27.8,0.002,0.442,0.604,8.6,17.3,9.1,1.8,3.0,10.9,15.5,-0.2,2.3,0.157,0.258852,0.0,0.11281
Corey Brewer,15.6,0.339,0.195,0.491,2.7,11.5,10.7,2.3,1.2,12.7,14.3,-2.9,0.2,0.045,0.03696,0.0936,0.1576
Cory Joseph,25.0,0.204,0.185,0.518,2.9,10.4,20.0,1.7,0.6,13.1,18.4,-0.4,-0.4,0.082,0.126984,0.08372,1.23778
Courtney Lee,31.9,0.382,0.139,0.559,2.3,9.1,10.6,1.6,0.8,8.5,14.4,0.5,-0.7,0.081,0.085228,0.40138,1.5504
Cristiano Felicio,15.8,0.0,0.419,0.601,12.8,19.5,5.7,1.2,1.2,11.2,12.4,-0.6,0.5,0.157,0.227129,0.0,0.06216
D'Angelo Russell,28.7,0.443,0.217,0.518,1.8,11.9,26.8,2.3,0.7,15.6,26.6,1.1,-1.6,0.034,0.037884,0.24973,2.82968
DJ Augustin,19.7,0.53,0.311,0.524,1.0,7.4,20.4,1.0,0.1,13.3,19.4,-0.9,-3.3,0.038,0.222,0.20659,1.20304
Damian Lillard,35.9,0.388,0.366,0.586,1.9,13.3,28.7,1.3,0.6,10.2,31.5,6.4,-2.0,0.184,0.090207,0.15481,4.12595
Danilo Gallinari,33.9,0.432,0.516,0.622,2.0,14.7,9.1,0.9,0.5,8.1,19.9,2.9,-2.1,0.154,0.088032,0.60144,1.16116
Danny Green,26.6,0.693,0.071,0.537,2.0,11.8,9.6,2.0,2.6,14.1,13.5,-0.3,2.7,0.09,0.081088,0.89832,0.55993
Dante Cunningham,25.0,0.504,0.075,0.586,3.6,14.2,3.1,1.2,1.4,7.0,10.7,-1.3,0.8,0.088,0.094535,0.51516,0.0384
Dante Exum,18.6,0.41,0.201,0.521,2.9,9.3,14.2,0.9,0.8,16.8,18.1,-2.0,-0.5,0.047,0.1785,0.2272,0.09744
Dario Saric,26.3,0.368,0.237,0.508,5.8,20.8,14.3,1.3,1.1,15.2,24.6,-2.0,-0.2,0.023,0.153768,0.36888,0.56055
Darren Collison,30.3,0.245,0.239,0.57,1.3,7.2,24.5,1.6,0.4,12.6,19.8,0.8,-2.3,0.091,0.10725,0.12798,2.09643
David Lee,18.7,0.0,0.269,0.613,11.6,21.9,13.0,1.1,2.2,14.9,16.9,0.7,2.5,0.186,0.218784,0.0,0.1274
David West,12.6,0.032,0.222,0.571,6.4,18.8,24.1,2.4,4.4,22.0,17.9,-1.7,3.9,0.148,0.214855,0.00112,0.07506
Davis Bertans,12.1,0.739,0.145,0.609,3.2,10.6,8.3,1.3,2.8,11.4,15.7,1.2,0.5,0.135,0.26775,0.6499,0.18759
DeAndre Jordan,31.7,0.003,0.737,0.673,13.3,34.6,5.7,1.0,4.3,13.2,15.3,1.0,3.0,0.22,0.18216,0.0,0.0
DeAndre Liggins,12.5,0.324,0.282,0.476,2.9,12.2,9.2,3.0,1.5,20.8,11.6,-3.9,1.8,0.031,0.064963,0.07514,0.07332
DeMar DeRozan,35.4,0.08,0.419,0.552,3.0,13.6,20.6,1.5,0.4,9.0,34.3,2.4,-1.5,0.166,0.18375,0.01683,4.69372
DeMarcus Cousins,34.2,0.254,0.468,0.562,7.1,29.2,25.8,2.0,3.3,13.5,36.5,3.9,2.6,0.149,0.11508,0.31977,1.03224
DeMarre Carroll,26.1,0.583,0.213,0.531,3.8,12.7,5.7,2.2,1.2,8.3,15.5,0.6,0.4,0.097,0.123888,0.71955,0.43576
Dennis Schroder,31.5,0.242,0.21,0.533,1.9,9.0,35.5,1.5,0.6,16.3,27.8,0.7,-1.4,0.071,0.131712,0.09375,2.12065
Denzel Valentine,17.1,0.722,0.063,0.492,1.2,15.6,9.3,1.5,0.6,14.2,15.4,-2.4,-0.4,0.031,0.040404,0.4896,0.63984
Deron Williams,25.9,0.39,0.182,0.541,0.9,9.4,35.9,1.0,0.4,17.6,22.1,0.2,-2.4,0.069,0.050505,0.20967,1.9521
Derrick Favors,23.7,0.024,0.261,0.512,9.2,20.2,7.9,2.0,2.7,11.4,20.7,-2.4,2.3,0.109,0.201664,0.00144,0.08018
Derrick Rose,32.5,0.061,0.259,0.53,3.4,9.3,22.8,1.1,0.7,11.9,25.7,0.2,-2.2,0.068,0.133878,0.0052,2.33387
Derrick Williams,16.1,0.398,0.365,0.537,2.6,15.1,5.1,0.9,0.7,9.0,17.2,-2.4,-1.8,0.064,0.0735,0.1768,0.3598
Devin Booker,35.0,0.283,0.308,0.531,1.8,8.3,16.3,1.3,0.6,12.9,28.6,0.4,-2.7,0.035,0.091875,0.21177,3.30416
Devin Harris,16.7,0.519,0.378,0.549,1.1,13.0,20.0,2.1,0.6,12.5,19.7,-0.1,-0.3,0.096,0.094,0.24771,0.52264
Dewayne Dedmon,17.5,0.0,0.359,0.645,11.2,30.5,4.8,1.4,3.7,16.9,12.3,-1.5,3.2,0.188,0.16272,0.0,0.01
Dirk Nowitzki,26.4,0.308,0.165,0.529,1.8,28.3,10.6,1.1,2.4,6.6,25.8,-1.6,0.3,0.084,0.111629,0.37944,1.19019
Domantas Sabonis,20.1,0.331,0.139,0.469,3.0,16.4,7.2,1.2,1.6,14.0,15.4,-4.7,-0.1,0.022,0.17479,0.19964,0.08227
Dorian Finney-Smith,20.3,0.574,0.183,0.486,3.7,12.3,6.0,1.6,1.4,11.1,11.6,-2.8,1.3,0.041,0.150024,0.36856,0.1124
Doug McDermott,22.8,0.416,0.169,0.554,1.4,11.5,5.9,0.4,0.3,6.6,16.4,-1.2,-2.3,0.083,0.093732,0.44352,0.79655
Draymond Green,32.5,0.405,0.328,0.522,4.6,20.9,27.6,3.0,3.4,19.8,16.2,0.4,5.0,0.16,0.141708,0.39795,0.0729
Dwight Howard,29.7,0.003,0.692,0.627,15.0,31.7,7.8,1.4,3.6,17.5,19.2,-0.5,2.8,0.181,0.16104,0.0,0.01332
Dwight Powell,17.3,0.196,0.374,0.588,7.7,19.5,6.1,2.4,2.6,7.2,16.7,-0.5,1.9,0.165,0.107616,0.0532,0.02672
Dwyane Wade,29.9,0.152,0.294,0.508,3.8,12.6,22.4,2.4,1.8,11.3,29.6,0.4,0.6,0.09,0.114162,0.01624,3.11649
E'Twaun Moore,24.9,0.336,0.12,0.537,1.9,6.9,13.8,1.3,1.4,8.7,17.4,-0.8,-0.5,0.07,0.216,0.2464,1.122
Elfrid Payton,29.4,0.16,0.231,0.52,3.9,13.8,35.7,1.8,1.3,15.0,21.6,0.7,0.2,0.088,0.11832,0.05304,0.94656
Emmanuel Mudiay,25.6,0.323,0.303,0.483,2.3,11.6,21.8,1.4,0.7,16.5,22.6,-2.0,-1.8,0.006,0.083895,0.1863,0.8064
Enes Kanter,21.3,0.052,0.387,0.599,14.1,20.8,7.9,1.0,2.0,12.5,27.3,0.6,-1.9,0.183,0.2494,0.00357,0.06912
Eric Bledsoe,33.0,0.3,0.443,0.563,2.5,13.8,31.1,2.0,1.2,15.3,28.1,3.7,-0.4,0.119,0.126,0.09198,2.77406
Eric Gordon,31.0,0.651,0.172,0.557,1.4,8.1,12.3,1.0,1.4,10.0,22.1,1.0,-2.4,0.079,0.10875,1.176,1.5264
Ersan Ilyasova,26.1,0.452,0.233,0.546,5.9,18.8,11.0,1.3,0.9,10.6,22.2,0.3,-0.8,0.091,0.135642,0.52244,0.69333
Evan Fournier,32.9,0.387,0.298,0.555,2.1,8.3,14.8,1.5,0.1,11.8,23.5,0.8,-2.2,0.059,0.182441,0.36314,1.52292
Evan Turner,25.5,0.214,0.187,0.491,2.4,14.2,18.4,1.6,1.2,14.3,18.5,-2.5,-0.1,0.035,0.075589,0.0703,1.5862
Frank Kaminsky,26.1,0.441,0.195,0.502,3.2,15.8,13.5,1.2,1.5,8.0,21.8,-0.8,-0.7,0.056,0.1526,0.63954,0.266
Garrett Temple,26.6,0.509,0.171,0.545,2.2,10.0,14.5,2.5,1.5,14.4,14.2,-0.3,0.6,0.062,0.2168,0.47824,0.66978
Gary Harris,31.3,0.4,0.21,0.611,3.0,8.0,13.6,1.9,0.3,9.8,18.4,3.1,-1.6,0.124,0.083104,0.561,0.68835
Gerald Henderson,23.2,0.313,0.298,0.529,2.2,10.0,10.5,1.2,0.7,9.0,17.9,-1.8,-1.2,0.059,0.228114,0.2067,0.97917
Giannis Antetokounmpo,35.6,0.143,0.486,0.599,5.9,22.6,26.6,2.3,4.7,13.3,28.3,4.1,3.5,0.21,0.1495,0.03154,1.3611
Glenn Robinson,20.7,0.37,0.225,0.564,4.5,14.6,4.7,1.4,1.2,9.1,12.8,-1.2,-0.2,0.085,0.073926,0.24288,0.3525
Goran Dragic,33.7,0.257,0.335,0.575,2.7,9.9,29.0,1.8,0.4,14.1,27.1,3.4,-0.7,0.147,0.071613,0.14725,2.63466
Gordon Hayward,34.5,0.324,0.371,0.595,2.3,15.4,18.2,1.5,0.6,9.4,27.6,4.2,0.0,0.199,0.045428,0.2838,2.7683
Gorgui Dieng,32.4,0.065,0.253,0.555,8.1,20.5,8.6,1.7,3.1,12.7,14.0,-0.5,2.2,0.103,0.138768,0.00954,0.28656
Greg Monroe,22.5,0.006,0.329,0.572,10.8,23.1,17.3,2.6,1.8,14.4,24.3,0.5,1.5,0.147,0.244648,0.0,0.03696
Harrison Barnes,35.5,0.173,0.22,0.541,3.7,13.2,7.8,1.2,0.5,6.8,25.3,-0.7,-1.2,0.079,0.12423,0.1224,2.45952
Hassan Whiteside,32.6,0.0,0.368,0.579,12.8,35.3,3.8,1.1,5.0,12.0,22.7,-2.0,1.5,0.181,0.168432,0.0,0.2478
Ian Clark,14.8,0.376,0.134,0.575,2.3,9.1,11.2,1.7,0.6,10.7,19.5,-0.6,-1.4,0.099,0.0168,0.19244,0.73515
Iman Shumpert,25.5,0.534,0.184,0.536,2.3,9.9,7.8,1.6,1.1,12.9,13.9,-1.3,0.0,0.05,0.063936,0.43362,1.09151
Isaiah Thomas,33.8,0.439,0.441,0.625,1.9,7.0,32.6,1.4,0.4,10.7,34.0,8.8,-3.3,0.235,0.230622,0.27594,3.73592
Isaiah Whitehead,22.5,0.293,0.222,0.487,2.1,9.7,17.7,1.2,1.7,20.3,18.2,-4.3,-0.6,-0.023,0.167076,0.06636,0.5684
Ish Smith,24.1,0.14,0.136,0.477,1.1,12.4,32.5,1.6,1.4,12.4,20.5,-1.2,0.4,0.076,0.062624,0.02236,1.72628
JJ Redick,28.2,0.526,0.227,0.599,0.6,7.9,7.8,1.3,0.5,9.1,21.9,2.0,-2.0,0.105,0.028952,0.72384,2.11432
JaMychal Green,27.3,0.29,0.334,0.601,8.8,21.1,6.3,1.1,1.5,14.1,14.4,-0.4,1.0,0.131,0.1649,0.1897,0.11025
Jabari Parker,33.9,0.219,0.268,0.563,5.4,15.7,14.3,1.5,1.1,9.2,26.5,1.5,-1.3,0.113,0.175428,0.2079,1.10838
Jae Crowder,32.4,0.547,0.301,0.613,2.3,17.3,10.1,1.5,0.8,8.8,17.0,1.4,0.1,0.137,0.069,0.76208,1.04204
Jahlil Okafor,22.7,0.0,0.335,0.546,7.9,15.5,9.0,0.9,3.4,14.4,24.1,-3.4,0.1,0.05,0.229518,0.0,0.48
Jakob Poeltl,11.6,0.0,0.496,0.589,14.1,15.7,2.7,1.4,2.8,17.2,12.1,-1.2,0.5,0.125,0.339048,0.0,0.0
Jamal Crawford,26.3,0.371,0.234,0.526,0.9,5.7,15.1,1.4,0.5,12.3,22.7,-1.0,-2.1,0.042,0.09,0.12127,2.9735
Jamal Murray,21.5,0.471,0.164,0.518,2.6,10.7,14.0,1.4,1.1,12.6,21.6,-0.5,-2.1,0.037,0.115401,0.27265,1.34064
Jameer Nelson,27.3,0.452,0.104,0.544,1.5,8.8,26.0,1.3,0.3,17.0,15.8,0.3,-2.3,0.065,0.03,0.2074,1.5336
James Ennis,23.5,0.427,0.343,0.581,5.1,14.9,6.5,1.6,1.2,13.8,13.0,-1.0,1.0,0.101,0.132104,0.23651,0.27522
James Harden,36.4,0.493,0.575,0.613,3.5,20.9,50.7,2.0,1.0,19.5,34.2,8.7,1.5,0.245,0.056221,0.11284,4.4838
James Johnson,27.4,0.333,0.28,0.564,3.5,16.6,20.9,1.8,3.2,16.5,22.0,0.5,2.2,0.117,0.106128,0.25542,0.75819
Jared Dudley,21.3,0.587,0.188,0.579,2.4,15.9,12.5,1.5,0.9,16.1,13.7,-0.1,-0.1,0.065,0.161022,0.62049,0.36225
Jason Smith,14.4,0.237,0.155,0.598,6.8,20.4,5.0,1.0,4.3,14.2,16.7,-2.0,0.6,0.103,0.198795,0.11515,0.08672
Jason Terry,18.4,0.704,0.119,0.6,1.3,7.7,9.9,1.7,1.3,12.3,9.8,-0.5,-0.6,0.075,0.0284,0.52374,0.28304
Jaylen Brown,17.2,0.319,0.293,0.539,3.8,14.4,7.2,1.3,1.1,12.5,18.1,-3.1,-0.9,0.053,0.1075,0.14958,0.288
Jeff Green,22.2,0.346,0.301,0.505,2.7,12.8,8.1,1.2,0.7,10.6,20.3,-2.8,-1.8,0.022,0.129514,0.16592,0.7524
Jeff Teague,32.4,0.277,0.457,0.574,1.4,12.4,36.4,1.9,1.1,16.5,22.1,2.4,-0.6,0.146,0.051282,0.07074,1.71482
Jerami Grant,19.1,0.354,0.448,0.556,2.7,12.2,4.2,1.1,4.1,10.1,12.1,-3.0,0.9,0.091,0.145314,0.18144,0.05032
Jeremy Lamb,18.4,0.297,0.263,0.55,2.9,22.7,11.3,1.2,1.8,6.8,23.2,-0.8,-0.8,0.115,0.061744,0.08695,1.05616
Jerian Grant,16.3,0.445,0.243,0.555,1.8,9.9,17.3,2.3,0.6,11.7,16.0,0.0,-0.3,0.118,0.026026,0.16848,0.84096
Jimmy Butler,37.0,0.198,0.54,0.586,4.9,13.2,24.8,2.6,0.9,9.3,26.5,5.8,1.1,0.236,0.131706,0.0549,3.00172
Joe Harris,21.9,0.61,0.135,0.558,1.5,12.0,7.3,1.2,0.5,12.5,16.5,-1.4,-1.5,0.032,0.072048,0.64771,0.5508
Joe Ingles,24.0,0.619,0.151,0.604,1.4,13.5,17.1,2.6,0.3,18.2,13.9,0.9,1.8,0.122,0.01957,0.49952,0.6645
Joe Johnson,23.6,0.412,0.123,0.542,2.1,12.7,12.6,1.0,0.8,9.5,18.5,-0.1,-0.1,0.099,0.101232,0.3456,1.35135
Joffrey Lauvergne,14.0,0.292,0.217,0.509,8.0,20.1,10.8,1.3,0.5,13.2,18.5,-2.3,-0.9,0.075,0.15326,0.13536,0.02912
John Henson,19.4,0.003,0.346,0.55,9.6,20.8,7.7,1.3,6.1,13.0,16.6,-2.6,2.5,0.115,0.2568,0.0,0.0175
John Wall,36.4,0.19,0.367,0.541,2.3,10.6,46.9,2.7,1.4,16.2,30.6,3.8,0.2,0.148,0.129564,0.0522,3.32896
Jon Leuer,25.9,0.259,0.175,0.551,5.5,17.5,8.6,0.8,1.1,8.7,17.3,-0.4,0.5,0.112,0.109068,0.1664,0.49368
Jonas Jerebko,15.8,0.496,0.141,0.537,5.5,19.1,8.1,1.0,1.1,12.3,11.4,-2.4,0.3,0.081,0.102284,0.27202,0.11583
Jonas Valanciunas,25.8,0.003,0.309,0.601,12.4,29.1,4.4,0.9,2.6,11.7,19.5,-0.5,-0.1,0.183,0.2009,1e-05,0.09064
Jonathon Simmons,17.8,0.242,0.314,0.504,1.7,11.1,13.2,1.7,1.5,13.7,18.0,-2.8,0.9,0.068,0.1628,0.06176,0.55728
Jordan Clarkson,29.2,0.332,0.157,0.526,2.2,9.3,14.4,1.8,0.3,12.5,23.3,-0.5,-2.3,0.024,0.133525,0.15372,2.01958
Josh Richardson,30.5,0.442,0.15,0.493,2.4,9.2,12.7,1.9,1.9,10.6,16.8,-1.0,1.1,0.066,0.166463,0.48125,1.21672
Jrue Holiday,32.7,0.314,0.188,0.532,2.2,10.6,35.9,2.2,1.6,16.7,23.5,1.2,0.5,0.084,0.131535,0.03204,2.84076
Juan Hernangomez,13.6,0.504,0.339,0.592,5.7,18.7,4.7,1.7,1.1,10.7,14.6,-0.1,-1.2,0.103,0.128,0.345,0.01617
Julius Randle,28.8,0.082,0.365,0.543,7.5,25.8,19.3,1.1,1.4,16.2,21.4,-0.7,0.7,0.08,0.141317,0.0154,0.4537
Justin Anderson,16.4,0.442,0.294,0.537,6.2,16.9,8.8,1.7,1.6,11.7,20.9,-1.2,-0.3,0.074,0.095887,0.23335,0.26918
Justin Hamilton,18.4,0.478,0.137,0.55,6.5,17.0,7.3,1.2,2.8,9.7,16.2,-0.9,0.2,0.084,0.193856,0.41118,0.07854
Justin Holiday,20.0,0.507,0.149,0.549,1.8,13.1,9.2,2.0,1.5,10.3,16.9,-0.3,-0.8,0.073,0.108225,0.48018,0.64525
Jusuf Nurkic,21.4,0.002,0.393,0.528,12.3,24.8,13.9,1.8,4.2,18.6,23.9,-2.3,2.2,0.068,0.220988,0.0,0.04641
Karl-Anthony Towns,37.0,0.186,0.289,0.618,11.2,27.8,13.2,1.0,2.9,11.3,27.5,4.8,0.3,0.201,0.182516,0.1914,0.44958
Kawhi Leonard,33.4,0.294,0.407,0.611,3.7,15.7,18.9,2.7,1.8,9.1,31.1,6.4,1.5,0.264,0.157899,0.2466,3.6577
Kelly Olynyk,20.5,0.378,0.242,0.603,5.3,20.7,15.2,1.4,1.5,14.6,19.0,0.1,0.5,0.127,0.080496,0.29319,0.29853
Kelly Oubre,20.3,0.425,0.224,0.516,4.3,13.9,4.0,1.8,0.9,9.2,14.5,-1.8,-0.5,0.062,0.105835,0.22875,0.31008
