player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,WS/48,paint_rebounding,3catch_and_shoot,pullupshoot
Kemba Walker,34.7,0.415,0.248,0.569,1.8,10.6,29.1,1.6,0.7,9.5,29.2,5.3,-1.7,0.142,0.077562,0.20216,4.1499
Kenneth Faried,21.2,0.014,0.454,0.588,15.7,23.6,6.3,1.6,2.4,10.4,18.3,0.9,-0.1,0.169,0.2247,0.0,0.0675
Kent Bazemore,26.9,0.369,0.233,0.504,2.6,10.3,14.2,2.3,2.3,13.6,20.5,-2.0,1.2,0.053,0.07536,0.25935,1.34976
Kentavious Caldwell-Pope,33.3,0.471,0.199,0.519,2.3,8.7,11.2,1.8,0.4,7.9,19.2,0.9,0.0,0.086,0.114688,0.41208,2.1648
Kevin Durant,33.4,0.304,0.374,0.651,2.2,23.6,23.1,1.5,3.8,10.4,27.8,5.4,2.6,0.277,0.083767,0.30576,2.16
Kevin Love,31.4,0.449,0.34,0.573,8.9,29.3,9.8,1.4,0.9,10.9,26.4,1.7,-0.9,0.163,0.109906,0.9315,0.4917
Klay Thompson,34.0,0.47,0.158,0.592,2.2,9.2,9.3,1.2,1.2,8.0,26.1,2.4,-2.1,0.128,0.102708,1.27078,1.73055
Kosta Koufos,20.0,0.003,0.158,0.56,9.7,22.9,5.3,1.3,3.1,12.7,15.3,-2.6,0.7,0.089,0.137904,0.0,0.0693
Kris Dunn,17.1,0.233,0.188,0.432,2.1,12.6,19.4,3.0,2.3,20.8,14.2,-3.7,1.5,0.004,0.122728,0.02873,0.59778
Kris Humphries,12.3,0.252,0.383,0.514,9.7,23.0,6.4,1.1,2.6,10.1,17.6,-3.0,0.3,0.115,0.138672,0.07616,0.08757
Kristaps Porzingis,32.8,0.319,0.256,0.546,5.5,18.2,7.3,1.1,4.9,9.7,24.3,0.2,0.0,0.1,0.206,0.47173,1.38838
Kyle Anderson,14.2,0.191,0.273,0.525,3.7,19.0,12.4,2.5,2.1,14.3,12.1,-2.1,3.7,0.127,0.103356,0.0368,0.1125
Kyle Korver,26.2,0.697,0.082,0.635,0.5,11.0,9.4,1.0,1.0,11.5,15.2,0.8,-1.0,0.101,0.120512,1.07115,1.0925
Kyle Lowry,37.4,0.51,0.398,0.623,2.4,12.1,29.9,2.0,0.7,13.8,24.9,7.1,-0.4,0.216,0.10229,0.2772,3.68368
Kyle O'Quinn,15.6,0.041,0.201,0.552,13.7,24.8,14.8,1.5,6.9,14.5,18.5,-0.1,3.7,0.151,0.20713,0.00081,0.0875
Kyrie Irving,35.1,0.311,0.231,0.58,2.3,7.5,29.7,1.6,0.8,10.3,30.8,4.8,-2.3,0.17,0.202,0.12987,4.43718
LaMarcus Aldridge,32.4,0.053,0.258,0.532,8.6,16.6,9.9,1.0,3.1,7.7,24.5,-0.3,1.4,0.149,0.215118,0.0144,1.07868
Langston Galloway,20.2,0.565,0.117,0.51,1.9,9.3,9.4,1.5,0.3,7.4,18.4,-0.9,-1.7,0.041,0.052614,0.69825,0.77504
Larry Nance,22.9,0.1,0.222,0.567,8.8,19.6,9.7,2.8,2.3,12.4,13.4,-0.3,2.3,0.118,0.154224,0.01504,0.0625
Lavoy Allen,14.3,0.006,0.196,0.485,13.7,14.6,9.1,1.0,2.4,13.7,10.9,-1.5,1.3,0.093,0.2832,0.0,0.0333
LeBron James,37.8,0.254,0.395,0.619,4.0,20.7,41.3,1.6,1.3,16.1,30.0,6.8,1.6,0.221,0.093612,0.0572,2.52357
Leandro Barbosa,14.4,0.25,0.115,0.509,1.6,10.3,13.0,1.5,0.7,10.4,20.0,-2.0,-2.1,0.031,0.030602,0.0722,0.816
Lou Williams,24.6,0.447,0.458,0.593,1.4,9.9,19.9,1.9,0.8,11.8,29.1,3.7,-3.0,0.147,0.084056,0.18109,2.3511
Luc Mbah a Moute,22.3,0.291,0.23,0.581,3.0,7.7,3.1,2.3,1.6,10.1,11.6,-0.8,1.5,0.084,0.188145,0.13083,0.2173
Lucas Nogueira,19.1,0.077,0.429,0.682,8.5,16.7,5.4,2.4,7.2,19.9,9.5,-0.1,5.6,0.164,0.208302,0.0033,0.0
Luke Babbitt,15.7,0.747,0.053,0.563,1.3,13.5,4.8,1.0,0.8,8.0,13.0,-1.0,-0.8,0.082,0.070516,0.83062,0.34
Luol Deng,26.5,0.389,0.149,0.47,4.5,17.7,7.0,1.6,1.1,8.7,14.2,-2.3,-0.2,0.029,0.152944,0.21973,0.60802
Malcolm Brogdon,26.4,0.304,0.198,0.555,2.8,9.6,24.3,2.2,0.5,14.1,18.5,0.6,-1.1,0.1,0.172827,0.18306,0.91574
Malcolm Delaney,17.1,0.284,0.24,0.456,1.0,9.8,23.1,1.5,0.1,18.1,18.3,-4.6,-1.2,0.005,0.09317,0.05304,1.275
Manu Ginobili,18.7,0.517,0.244,0.532,2.5,11.1,20.8,3.2,1.0,16.5,20.4,0.5,1.4,0.11,0.065494,0.34689,0.72912
Marc Gasol,34.2,0.231,0.286,0.554,2.6,18.7,24.8,1.4,3.7,11.3,26.4,2.1,2.2,0.145,0.165048,0.28944,0.98735
Marcin Gortat,31.2,0.003,0.236,0.593,10.6,26.8,6.8,0.8,2.1,13.7,14.7,-0.9,1.2,0.128,0.15912,0.0,0.13416
Marco Belinelli,24.0,0.46,0.273,0.566,0.9,10.2,13.1,1.2,0.4,9.2,19.2,0.1,-2.0,0.088,0.02775,0.28704,1.29168
Marcus Morris,32.5,0.355,0.184,0.508,3.2,12.8,9.4,1.0,0.8,7.4,20.3,-0.3,-0.2,0.072,0.163053,0.3483,2.3427
Marcus Smart,30.4,0.443,0.334,0.486,3.7,10.5,22.0,2.6,1.2,15.6,18.8,-1.1,0.9,0.064,0.229768,0.32204,0.8027
Mario Hezonja,14.8,0.436,0.152,0.45,2.2,14.7,9.6,1.5,1.2,14.1,18.8,-4.8,-1.0,-0.034,0.098098,0.20292,0.41625
Markieff Morris,31.2,0.22,0.242,0.54,5.1,18.2,7.8,1.7,1.5,11.6,20.5,-1.3,0.2,0.083,0.157825,0.18128,0.816
Marquese Chriss,21.3,0.354,0.286,0.529,5.8,16.1,5.2,1.8,3.2,13.2,19.7,-1.6,0.0,0.05,0.134912,0.28476,0.05709
Marreese Speights,15.7,0.505,0.25,0.584,7.9,24.1,8.1,0.9,2.6,10.2,23.6,1.5,-0.8,0.156,0.190762,0.58806,0.23922
Marvin Williams,30.2,0.503,0.213,0.551,4.2,19.7,7.1,1.3,2.0,7.2,16.3,-0.3,0.5,0.105,0.0756,0.76788,0.27778
Mason Plumlee,26.5,0.01,0.482,0.558,8.8,22.5,19.8,1.6,3.4,15.2,18.1,0.0,2.6,0.134,0.172584,0.0,0.23572
Matt Barnes,24.0,0.556,0.188,0.514,4.6,19.9,15.6,1.3,1.3,17.3,15.6,-1.2,0.6,0.053,0.088788,0.47571,0.2422
Matthew Dellavedova,26.1,0.403,0.18,0.501,1.4,7.1,25.7,1.4,0.0,18.8,16.3,-1.9,-2.8,0.029,0.231,0.23244,0.95493
Maurice Harkless,28.9,0.311,0.199,0.57,6.2,10.8,6.0,1.9,2.5,11.1,15.1,0.0,0.8,0.092,0.32334,0.2596,0.10296
Meyers Leonard,16.5,0.563,0.106,0.507,2.4,19.0,8.4,0.5,1.8,8.1,15.5,-2.1,-1.3,0.053,0.110568,0.44055,0.27084
Michael Beasley,16.7,0.106,0.259,0.584,5.0,18.9,9.9,1.5,2.5,12.7,25.3,-1.7,-1.1,0.093,0.16827,0.0285,0.7599
Michael Kidd-Gilchrist,29.0,0.015,0.314,0.528,7.3,19.3,7.4,1.7,2.9,7.4,14.6,-2.0,2.2,0.119,0.140266,0.00011,0.87688
Mike Conley,33.2,0.415,0.365,0.604,1.5,10.8,34.5,2.1,0.8,11.8,26.3,6.5,-0.7,0.209,0.061,0.17056,3.58912
Mike Dunleavy,15.9,0.609,0.205,0.573,2.4,12.4,8.6,0.9,0.7,10.5,14.0,-1.0,-1.2,0.086,0.09438,0.45746,0.30212
Mike Muscala,17.7,0.326,0.19,0.596,6.9,14.4,11.9,1.2,2.8,13.1,14.8,-0.4,1.5,0.132,0.214455,0.2048,0.06574
Mindaugas Kuzminskas,14.9,0.455,0.184,0.533,5.0,8.4,10.3,1.4,0.9,11.3,19.2,-0.2,-2.5,0.055,0.33625,0.25674,0.20776
Mirza Teletovic,16.2,0.73,0.108,0.515,1.1,15.4,6.4,0.5,1.0,7.8,19.1,-1.5,-3.4,0.025,0.072325,0.89624,0.39858
Monta Ellis,27.0,0.242,0.23,0.514,1.1,10.3,17.2,2.0,1.2,18.0,16.8,-2.5,0.2,0.026,0.063492,0.10045,0.93835
Montrezl Harrell,18.3,0.02,0.351,0.662,8.3,14.2,9.6,0.9,3.2,9.9,17.6,0.8,0.2,0.183,0.278568,0.0,0.0935
Myles Turner,31.4,0.132,0.349,0.585,6.2,19.5,6.6,1.5,6.0,9.5,19.5,-0.3,2.7,0.151,0.215952,0.0558,0.27584
Nemanja Bjelica,18.3,0.497,0.171,0.526,5.5,18.6,9.6,1.7,1.4,13.4,16.4,-0.7,-0.4,0.059,0.212271,0.3512,0.1216
Nene,17.9,0.023,0.496,0.63,8.6,16.9,8.6,2.2,2.7,13.1,19.7,-0.4,0.9,0.165,0.197091,0.00054,0.1425
Nerlens Noel,20.5,0.003,0.359,0.622,9.8,22.3,8.1,3.1,4.1,12.5,17.6,-0.5,3.8,0.182,0.188616,0.0,0.05775
Nick Young,25.9,0.665,0.142,0.588,1.7,8.2,5.8,1.2,0.7,5.1,19.5,2.6,-3.4,0.098,0.17097,0.9555,2.0081
Nicolas Batum,34.0,0.415,0.291,0.529,1.9,18.4,27.6,1.6,1.0,15.0,22.3,0.6,0.6,0.083,0.058339,0.4216,2.15366
Nik Stauskas,27.4,0.566,0.237,0.54,1.1,10.3,12.9,1.0,1.2,15.5,16.4,-1.7,-0.7,0.031,0.065601,0.4048,1.056
Nikola Jokic,27.9,0.163,0.267,0.64,11.6,27.2,28.8,1.5,2.1,15.2,23.5,6.2,2.2,0.229,0.152796,0.06784,0.17901
Nikola Mirotic,24.0,0.603,0.205,0.546,3.9,20.9,6.9,1.6,2.7,10.4,19.8,0.0,0.5,0.108,0.112081,0.856,0.60116
Nikola Vucevic,28.8,0.073,0.155,0.498,8.6,31.2,16.9,1.8,2.8,9.6,24.8,-1.3,2.4,0.088,0.143671,0.02059,0.52773
Noah Vonleh,17.1,0.074,0.348,0.525,11.4,22.5,3.4,1.2,1.7,17.1,13.1,-3.5,-0.3,0.069,0.232,0.00472,0.04672
Norman Powell,18.0,0.342,0.314,0.552,2.2,11.7,9.3,1.9,0.9,10.8,21.1,-0.4,-1.2,0.097,0.073006,0.1885,0.43844
Otto Porter,32.6,0.425,0.148,0.628,5.1,17.1,6.7,2.2,1.3,4.8,15.1,3.0,0.9,0.173,0.1089,0.71556,0.8064
PJ Tucker,27.6,0.407,0.193,0.516,5.6,17.8,6.0,2.5,0.7,11.2,11.2,-0.7,1.6,0.078,0.132,0.30586,0.24766
Pascal Siakam,15.6,0.034,0.156,0.523,8.4,15.9,2.9,1.5,4.5,13.1,13.1,-3.0,1.8,0.089,0.1665,0.0007,0.07326
Patrick Beverley,30.7,0.53,0.175,0.546,5.0,15.9,18.8,2.3,1.0,14.6,14.1,0.8,1.5,0.124,0.097236,0.47864,0.68068
Patrick McCaw,15.1,0.502,0.151,0.54,2.4,7.6,9.0,1.4,1.1,12.1,11.9,-1.6,-0.1,0.077,0.216931,0.20064,0.20628
Patrick Patterson,24.6,0.659,0.156,0.542,4.4,16.2,6.6,1.3,1.2,8.5,12.5,0.5,0.4,0.1,0.161838,0.87906,0.1292
Patty Mills,21.9,0.572,0.129,0.577,1.6,7.4,24.3,1.9,0.1,13.3,19.5,2.5,-1.2,0.139,0.077,0.42804,1.67166
Pau Gasol,25.4,0.172,0.305,0.578,7.6,26.8,14.7,0.8,3.5,10.6,21.3,0.9,2.8,0.189,0.128443,0.15308,0.23798
Paul George,35.9,0.368,0.277,0.586,2.5,17.9,16.1,2.2,0.9,12.6,28.9,3.1,-0.3,0.127,0.047064,0.5481,3.37722
Paul Millsap,34.0,0.248,0.417,0.542,5.3,19.5,17.9,1.9,2.3,12.1,24.4,0.5,2.1,0.132,0.136206,0.21631,1.2467
Rajon Rondo,26.7,0.237,0.089,0.461,4.2,16.6,37.0,2.7,0.5,22.4,17.8,-1.3,1.6,0.061,0.024192,0.11656,0.61655
Ramon Sessions,16.2,0.236,0.449,0.495,1.5,8.5,24.2,1.6,0.3,12.7,20.1,-2.4,-2.3,0.054,0.05,0.0525,0.5808
Randy Foye,18.6,0.625,0.194,0.506,0.8,11.9,15.2,1.3,0.5,18.5,14.4,-3.0,-1.0,0.006,0.03002,0.27738,0.53704
Raymond Felton,21.3,0.28,0.125,0.496,2.2,11.8,16.3,2.0,1.1,13.3,16.5,-1.8,0.9,0.055,0.14245,0.06232,0.99974
Reggie Jackson,27.4,0.272,0.201,0.51,1.6,7.3,30.3,1.2,0.3,13.4,26.4,0.6,-2.1,0.065,0.0555,0.0644,2.87453
Richard Jefferson,20.4,0.542,0.315,0.574,2.0,11.5,6.6,0.8,0.5,11.8,12.2,-1.3,-1.0,0.063,0.101132,0.3585,0.11421
Richaun Holmes,20.9,0.187,0.25,0.611,8.7,20.1,8.3,1.7,3.7,10.7,18.6,0.2,1.5,0.151,0.217756,0.08601,0.01743
Ricky Rubio,32.9,0.302,0.438,0.539,3.2,11.4,38.9,2.6,0.3,20.1,17.4,1.7,-1.0,0.119,0.130869,0.1836,1.60816
Robert Covington,31.6,0.563,0.238,0.534,4.8,17.9,7.5,2.9,2.6,13.9,19.2,-0.7,2.0,0.071,0.145521,0.9472,0.41735
Robin Lopez,28.0,0.003,0.134,0.511,11.4,13.2,5.6,0.4,4.1,9.9,17.5,-1.9,1.0,0.09,0.385904,0.0,0.19651
Rodney Hood,27.0,0.461,0.173,0.522,1.2,13.1,10.1,1.3,0.6,8.3,22.9,-0.3,-0.9,0.078,0.0762,0.40866,1.90532
Rodney McGruder,25.2,0.478,0.154,0.506,5.3,9.2,8.8,1.2,0.7,10.2,12.3,-0.8,0.5,0.072,0.190092,0.3915,0.19856
Ron Baker,16.5,0.396,0.198,0.456,1.5,10.8,17.3,2.0,0.8,19.2,14.8,-3.5,-0.9,-0.008,0.137094,0.10032,0.404
Rondae Hollis-Jefferson,22.6,0.124,0.467,0.517,5.8,21.1,13.4,2.2,1.9,15.1,18.7,-2.9,1.9,0.07,0.121326,0.01648,0.37692
Rudy Gobert,33.9,0.002,0.763,0.682,13.6,29.5,5.7,0.9,6.4,15.1,16.7,1.4,4.5,0.25,0.156176,0.0,0.0
Russell Westbrook,34.6,0.3,0.433,0.554,5.4,28.8,57.3,2.3,0.9,15.9,41.7,10.9,4.7,0.224,0.062524,0.05005,5.4366
Ryan Anderson,29.4,0.655,0.194,0.583,5.8,11.2,4.7,0.7,0.5,6.2,17.9,1.8,-2.6,0.118,0.274364,1.29276,1.04902
Salah Mejri,12.4,0.022,0.445,0.65,11.9,28.4,2.4,1.8,6.1,19.6,10.6,-3.6,3.8,0.159,0.202191,0.00022,0.02668
Sam Dekker,18.4,0.436,0.159,0.549,7.2,14.6,7.7,1.3,1.2,8.2,14.9,-0.4,-0.6,0.105,0.15707,0.2702,0.17052
Sean Kilpatrick,25.1,0.419,0.329,0.546,1.3,15.4,14.6,1.2,0.3,13.9,23.9,-1.2,-1.8,0.039,0.026999,0.29664,1.26283
Semaj Christon,15.2,0.283,0.139,0.387,2.2,7.9,18.1,1.4,0.5,15.4,12.2,-5.0,-1.3,0.006,0.143,0.03392,0.39
Serge Ibaka,30.7,0.323,0.127,0.566,5.7,19.0,5.2,0.8,4.2,9.2,20.9,-0.5,0.1,0.101,0.148005,0.4768,0.65987
Sergio Rodriguez,22.3,0.47,0.05,0.484,1.5,9.9,35.4,1.5,0.2,18.9,19.3,-1.6,-2.4,0.022,0.143,0.09912,1.94866
Seth Curry,29.0,0.458,0.142,0.601,1.4,9.2,15.9,2.0,0.3,11.0,19.5,1.8,-0.4,0.109,0.025,0.3825,2.19834
Shabazz Muhammad,19.4,0.244,0.318,0.566,6.4,10.6,3.7,0.7,0.3,7.6,21.5,-0.2,-4.3,0.086,0.282855,0.13456,0.3649
Shaun Livingston,17.7,0.009,0.19,0.568,2.4,9.4,13.5,1.4,1.2,15.1,12.9,-2.5,0.5,0.094,0.1576,6e-05,1.0509
Shelvin Mack,21.9,0.315,0.202,0.518,2.0,10.1,20.4,1.8,0.2,17.8,19.6,-1.7,-0.1,0.054,0.039294,0.06498,1.11144
Solomon Hill,29.7,0.566,0.268,0.528,2.3,11.4,8.1,1.5,1.1,13.3,11.5,-1.8,1.5,0.055,0.127455,0.555,0.18841
Spencer Dinwiddie,22.6,0.334,0.526,0.581,2.2,10.7,20.3,1.6,1.3,15.1,14.1,-0.7,-0.2,0.101,0.033616,0.04123,0.9492
Spencer Hawes,14.8,0.292,0.188,0.562,5.3,21.5,16.5,0.9,3.3,14.0,19.8,-1.2,0.8,0.102,0.140154,0.11924,0.2212
Stanley Johnson,17.8,0.422,0.145,0.436,2.8,12.7,10.5,2.1,1.5,15.5,14.8,-3.8,1.8,0.012,0.102512,0.17646,0.60342
Stephen Curry,33.4,0.547,0.251,0.624,2.7,11.4,31.1,2.6,0.5,13.0,30.1,7.7,-0.4,0.229,0.127491,0.52961,3.99234
Steven Adams,29.9,0.002,0.392,0.589,13.0,15.5,5.4,1.8,2.6,16.0,16.2,-0.7,1.2,0.13,0.328994,0.0,0.01232
TJ McConnell,26.3,0.107,0.176,0.504,2.0,11.0,37.5,3.1,0.4,22.4,14.4,-2.0,0.1,0.084,0.0976,0.0072,0.79152
TJ Warren,31.0,0.12,0.189,0.539,6.5,11.7,5.8,1.8,1.5,6.1,19.2,0.2,-0.5,0.096,0.2975,0.03502,1.50902
Taj Gibson,25.5,0.018,0.223,0.543,8.6,18.0,5.9,1.1,2.6,11.9,19.3,-2.4,0.3,0.098,0.231336,0.00072,0.09065
Tarik Black,16.3,0.007,0.371,0.56,13.8,20.7,5.3,1.3,3.3,14.5,15.7,-1.8,0.2,0.105,0.264132,0.0,0.0375
Taurean Prince,16.6,0.358,0.33,0.513,2.8,14.6,8.4,2.2,2.4,15.7,17.2,-3.8,1.5,0.054,0.108747,0.14504,0.26973
Terrence Jones,23.5,0.153,0.346,0.516,5.4,20.2,7.3,1.5,3.5,7.8,21.4,-2.7,1.3,0.087,0.160952,0.0372,0.1841
Terrence Ross,25.1,0.524,0.103,0.55,1.0,10.9,7.1,2.3,1.4,8.0,19.3,0.4,-0.6,0.086,0.102712,0.57368,1.62288
Terry Rozier,17.1,0.436,0.161,0.466,3.6,16.3,15.2,1.8,0.7,9.7,17.1,-2.5,0.0,0.053,0.103275,0.17346,0.62656
Thabo Sefolosha,25.7,0.304,0.19,0.519,3.8,14.7,9.9,3.0,1.7,11.9,13.3,-1.9,3.1,0.098,0.09216,0.1638,0.323
Thaddeus Young,30.2,0.172,0.125,0.562,6.7,15.8,8.4,2.6,1.2,11.7,16.5,0.0,1.5,0.099,0.194438,0.09794,0.1932
Tim Frazier,23.5,0.317,0.319,0.504,2.3,9.7,31.4,1.8,0.3,18.0,16.3,-1.5,-0.7,0.075,0.106704,0.04867,0.92287
Tim Hardaway,27.3,0.457,0.235,0.568,1.8,9.5,14.3,1.3,0.6,9.5,22.5,1.3,-1.5,0.107,0.136851,0.48334,1.37151
Timofey Mozgov,20.4,0.003,0.238,0.553,9.9,16.4,5.9,0.7,2.3,16.6,16.8,-2.8,-0.8,0.048,0.241432,0.0,0.0375
Timothe Luwawu-Cabarrot,17.2,0.446,0.341,0.536,2.3,11.5,9.6,1.3,0.7,15.0,17.8,-2.8,-1.2,0.034,0.1028,0.27472,0.09408
Tobias Harris,31.3,0.295,0.213,0.568,2.6,15.6,8.8,1.2,1.3,7.6,21.7,1.1,0.1,0.129,0.116522,0.35991,1.49301
Tomas Satoransky,12.6,0.253,0.226,0.48,3.9,9.1,16.7,1.8,0.7,19.1,12.1,-2.9,-0.2,0.041,0.11858,0.02716,0.2118
Tony Allen,27.0,0.091,0.218,0.493,9.6,13.8,8.4,3.1,1.4,13.3,17.9,-1.8,2.4,0.077,0.260043,0.01806,0.0285
Tony Parker,25.2,0.121,0.206,0.514,0.7,7.3,27.8,1.1,0.1,12.5,20.2,-1.2,-1.7,0.091,0.023881,0.03672,1.42146
Tony Snell,29.2,0.656,0.107,0.603,1.1,11.1,5.9,1.2,0.5,8.8,12.1,0.2,-1.1,0.071,0.056283,1.07358,0.33226
Trevor Ariza,34.7,0.695,0.158,0.548,2.1,15.9,8.8,2.5,0.6,8.0,14.1,0.7,1.0,0.104,0.066542,1.1187,0.64239
Trevor Booker,24.7,0.132,0.186,0.554,8.7,25.5,12.9,2.1,1.2,16.6,18.7,-1.6,1.8,0.086,0.110213,0.01617,0.41288
Trey Burke,12.3,0.275,0.114,0.532,1.1,6.4,20.7,0.8,0.6,15.2,19.6,-2.3,-3.4,0.036,0.03575,0.06475,1.1656
Trey Lyles,16.3,0.465,0.18,0.464,4.9,18.1,9.6,1.2,1.4,11.9,21.7,-2.9,-0.1,0.032,0.072846,0.36034,0.33813
Tristan Thompson,29.9,0.007,0.487,0.594,14.0,19.6,4.6,0.8,2.9,10.8,11.3,0.0,1.5,0.15,0.24072,0.0,0.05
Troy Daniels,17.7,0.717,0.109,0.531,2.0,7.9,6.6,0.9,0.3,8.0,21.7,0.3,-3.4,0.051,0.1545,0.85778,1.06398
Ty Lawson,25.1,0.226,0.416,0.551,3.0,8.9,30.0,2.2,0.3,17.3,19.5,0.2,-1.5,0.088,0.184,0.04672,1.34725
Tyler Ennis,11.1,0.337,0.12,0.521,1.8,6.8,21.7,2.1,0.3,17.0,19.1,-2.1,-2.7,0.033,0.08325,0.02142,0.7163
Tyler Johnson,29.8,0.303,0.308,0.535,2.5,12.5,16.6,1.9,1.6,8.8,20.9,0.7,0.7,0.128,0.10092,0.33638,0.8762
Tyler Ulis,18.4,0.181,0.162,0.474,1.9,7.5,30.5,2.0,0.4,14.1,20.3,-1.4,-2.5,0.029,0.04,0.01425,2.1692
Tyler Zeller,10.3,0.006,0.247,0.508,9.2,17.0,12.2,0.7,3.3,10.2,16.5,-3.2,0.8,0.094,0.293662,0.0,0.06
Tyus Jones,12.9,0.403,0.238,0.523,1.5,8.7,28.0,3.1,0.6,16.0,13.6,-0.4,-1.5,0.095,0.03575,0.10255,0.3663
Victor Oladipo,33.2,0.378,0.165,0.534,1.9,12.6,12.5,1.7,0.8,10.6,21.4,-0.4,-0.9,0.085,0.060024,0.51834,1.81482
Vince Carter,24.6,0.604,0.235,0.542,2.2,12.5,11.5,1.7,1.9,8.5,14.9,0.1,0.9,0.106,0.143208,0.61662,0.54085
Wayne Ellington,24.2,0.71,0.077,0.565,1.3,8.6,7.1,1.2,0.2,5.0,17.9,1.8,-1.9,0.105,0.0358,1.03598,1.20175
Wesley Johnson,11.9,0.59,0.085,0.448,3.7,20.8,3.9,1.8,3.0,8.0,12.5,-3.4,1.6,0.051,0.062604,0.23083,0.20041
Wesley Matthews,34.2,0.566,0.211,0.533,0.8,11.8,13.6,1.6,0.6,9.9,19.4,0.2,-0.1,0.06,0.028819,0.76076,1.74294
Will Barton,28.4,0.353,0.285,0.547,3.8,12.8,17.7,1.4,1.3,11.5,21.1,1.3,-1.0,0.093,0.057915,0.20328,1.33875
Willie Cauley-Stein,18.9,0.004,0.314,0.558,7.0,20.5,9.4,1.9,2.9,11.2,19.6,-2.0,0.9,0.1,0.197566,0.0,0.23874
Willie Reed,14.5,0.014,0.309,0.578,13.7,22.0,3.9,0.9,3.6,8.7,15.3,-1.3,0.7,0.168,0.228528,0.00014,0.028
Willy Hernangomez,18.4,0.032,0.269,0.564,13.8,27.1,11.5,1.5,2.2,16.1,20.3,-0.6,0.6,0.123,0.185344,0.0018,0.01443
Wilson Chandler,30.9,0.347,0.207,0.545,5.2,17.7,9.8,1.2,1.1,10.0,22.0,0.5,-1.3,0.078,0.123453,0.324,1.37246
Zach Randolph,24.5,0.098,0.2,0.49,11.3,27.4,13.5,1.1,0.5,8.6,29.2,-1.4,-0.7,0.086,0.176098,0.02075,0.47388
Zaza Pachulia,18.1,0.007,0.41,0.588,12.9,22.0,13.6,2.2,2.0,19.5,15.3,-0.3,3.0,0.177,0.1865,0.0,0.028
